ID,Time Stamp,Forecast Value,Measured Value
1,2023-01-20 00:00,603491,6169
2,2023-01-20 01:00,56879,5768
3,2023-01-20 02:00,52876,5384
4,2023-01-20 03:00,502327,5096
5,2023-01-20 04:00,491119,4961
6,2023-01-20 05:00,497392,4974
7,2023-01-20 06:00,523484,5167
8,2023-01-20 07:00,556269,5528
9,2023-01-20 08:00,587741,5875
10,2023-01-20 09:00,609764,6137
11,2023-01-20 10:00,61567,6212
12,2023-01-20 11:00,619529,6234
13,2023-01-20 12:00,617875,6159
14,2023-01-20 13:00,612599,6010
15,2023-01-20 14:00,602782,5792
16,2023-01-20 15:00,609502,5692
17,2023-01-20 16:00,64982,5892
18,2023-01-20 17:00,667958,6183
19,2023-01-20 18:00,664861,6166
20,2023-01-20 19:00,657931,6048
21,2023-01-20 20:00,64415,5990
22,2023-01-20 21:00,627325,5926
23,2023-01-20 22:00,617272,5970
24,2023-01-20 23:00,611313,6008
ID,Time Stamp,Forecast Value,Measured Value
1,2023-01-20 00:00,603491,6169
2,2023-01-20 01:00,56879,5768
3,2023-01-20 02:00,52876,5384
4,2023-01-20 03:00,502327,5096
5,2023-01-20 04:00,491119,4961
6,2023-01-20 05:00,497392,4974
7,2023-01-20 06:00,523484,5167
8,2023-01-20 07:00,556269,5528
9,2023-01-20 08:00,587741,5875
10,2023-01-20 09:00,609764,6137
11,2023-01-20 10:00,61567,6212
12,2023-01-20 11:00,619529,6234
13,2023-01-20 12:00,617875,6159
14,2023-01-20 13:00,612599,6010
15,2023-01-20 14:00,602782,5792
16,2023-01-20 15:00,609502,5692
17,2023-01-20 16:00,64982,5892
18,2023-01-20 17:00,667958,6183
19,2023-01-20 18:00,664861,6166
20,2023-01-20 19:00,657931,6048
21,2023-01-20 20:00,64415,5990
22,2023-01-20 21:00,627325,5926
23,2023-01-20 22:00,617272,5970
24,2023-01-20 23:00,611313,6008
ID,Time Stamp,Forecast Value,Measured Value
1,2023-01-20 00:00,603491,6169
2,2023-01-20 01:00,56879,5768
3,2023-01-20 02:00,52876,5384
4,2023-01-20 03:00,502327,5096
5,2023-01-20 04:00,491119,4961
6,2023-01-20 05:00,497392,4974
7,2023-01-20 06:00,523484,5167
8,2023-01-20 07:00,556269,5528
9,2023-01-20 08:00,587741,5875
10,2023-01-20 09:00,609764,6137
11,2023-01-20 10:00,61567,6212
12,2023-01-20 11:00,619529,6234
13,2023-01-20 12:00,617875,6159
14,2023-01-20 13:00,612599,6010
15,2023-01-20 14:00,602782,5792
16,2023-01-20 15:00,609502,5692
17,2023-01-20 16:00,64982,5892
18,2023-01-20 17:00,667958,6183
19,2023-01-20 18:00,664861,6166
20,2023-01-20 19:00,657931,6048
21,2023-01-20 20:00,64415,5990
22,2023-01-20 21:00,627325,5926
23,2023-01-20 22:00,617272,5970
24,2023-01-20 23:00,611313,6008
ID,Time Stamp,Forecast Value,Measured Value
1,2023-01-20 00:00,6034.91,6169
2,2023-01-20 01:00,5687.9,5768
3,2023-01-20 02:00,5287.6,5384
4,2023-01-20 03:00,5023.27,5096
5,2023-01-20 04:00,4911.19,4961
6,2023-01-20 05:00,4973.92,4974
7,2023-01-20 06:00,5234.84,5167
8,2023-01-20 07:00,5562.69,5528
9,2023-01-20 08:00,5877.41,5875
10,2023-01-20 09:00,6097.64,6137
11,2023-01-20 10:00,6156.7,6212
12,2023-01-20 11:00,6195.29,6234
13,2023-01-20 12:00,6178.75,6159
14,2023-01-20 13:00,6125.99,6010
15,2023-01-20 14:00,6027.82,5792
16,2023-01-20 15:00,6095.02,5692
17,2023-01-20 16:00,6498.2,5892
18,2023-01-20 17:00,6679.58,6183
19,2023-01-20 18:00,6648.61,6166
20,2023-01-20 19:00,6579.31,6048
21,2023-01-20 20:00,6441.5,5990
22,2023-01-20 21:00,6273.25,5926
23,2023-01-20 22:00,6172.72,5970
24,2023-01-20 23:00,6113.13,6008
ID,Time Stamp,Forecast Value,Measured Value
1,2023-01-20 00:00,6034.91,6169
2,2023-01-20 01:00,5687.9,5768
3,2023-01-20 02:00,5287.6,5384
4,2023-01-20 03:00,5023.27,5096
5,2023-01-20 04:00,4911.19,4961
6,2023-01-20 05:00,4973.92,4974
7,2023-01-20 06:00,5234.84,5167
8,2023-01-20 07:00,5562.69,5528
9,2023-01-20 08:00,5877.41,5875
10,2023-01-20 09:00,6097.64,6137
11,2023-01-20 10:00,6156.7,6212
12,2023-01-20 11:00,6195.29,6234
13,2023-01-20 12:00,6178.75,6159
14,2023-01-20 13:00,6125.99,6010
15,2023-01-20 14:00,6027.82,5792
16,2023-01-20 15:00,6095.02,5692
17,2023-01-20 16:00,6498.2,5892
18,2023-01-20 17:00,6679.58,6183
19,2023-01-20 18:00,6648.61,6166
20,2023-01-20 19:00,6579.31,6048
21,2023-01-20 20:00,6441.5,5990
22,2023-01-20 21:00,6273.25,5926
23,2023-01-20 22:00,6172.72,5970
24,2023-01-20 23:00,6113.13,6008
ID,Time Stamp,Forecast Value,Measured Value
1,2023-01-20 00:00,6034.91,6169
2,2023-01-20 01:00,5687.9,5768
3,2023-01-20 02:00,5287.6,5384
4,2023-01-20 03:00,5023.27,5096
5,2023-01-20 04:00,4911.19,4961
6,2023-01-20 05:00,4973.92,4974
7,2023-01-20 06:00,5234.84,5167
8,2023-01-20 07:00,5562.69,5528
9,2023-01-20 08:00,5877.41,5875
10,2023-01-20 09:00,6097.64,6137
11,2023-01-20 10:00,6156.7,6212
12,2023-01-20 11:00,6195.29,6234
13,2023-01-20 12:00,6178.75,6159
14,2023-01-20 13:00,6125.99,6010
15,2023-01-20 14:00,6027.82,5792
16,2023-01-20 15:00,6095.02,5692
17,2023-01-20 16:00,6498.2,5892
18,2023-01-20 17:00,6679.58,6183
19,2023-01-20 18:00,6648.61,6166
20,2023-01-20 19:00,6579.31,6048
21,2023-01-20 20:00,6441.5,5990
22,2023-01-20 21:00,6273.25,5926
23,2023-01-20 22:00,6172.72,5970
24,2023-01-20 23:00,6113.13,6008
